pl_name,ra,dec,sy_dist
HAT-P-64 b,68.9743955,2.4312732,651.897
TOI-1736 c,43.4344615,69.101345,88.9482
TOI-2796 b,84.1527191,0.8962788,350.343
TOI-3629 b,359.7933851,39.3142556,130.091
TOI-3261 b,47.7285242,-73.531972,300.141
NGTS-18 b,180.5462193,-35.5486091,1096.19
WASP-124 b,332.7143373,-30.7497189,448.637
WASP-25 b,195.3597581,-27.5222273,211.416
WASP-25 b,195.3597581,-27.5222273,211.416
WASP-25 b,195.3597581,-27.5222273,211.416
TOI-125 b,23.5934253,-66.6763495,111.059
WASP-56 b,183.3660401,23.055687,321.084
HATS-70 b,109.1045212,-31.2443947,1458.83
GJ 436 b,175.5505363,26.7030669,9.75321
WASP-1 b,5.1669536,31.9899732,393.072
XO-6 b,94.7929552,73.8275672,235.479
TOI-5293 A b,355.828682,-2.0450945,162.229
NGTS-5 b,221.0582692,5.6053735,306.779
NGTS-1 b,82.7142134,-36.6309812,218.121
TOI-5301 b,12.9908008,13.0783712,629.161
TOI-3984 A b,226.3371468,36.7869747,108.883
TOI-3023 b,165.3158231,-72.3567044,389.916
TrES-5 b,305.2219454,59.4489033,360.313
NGTS-1 b,82.7142134,-36.6309812,218.121
NGTS-1 b,82.7142134,-36.6309812,218.121
KELT-12 b,267.6404906,36.5701761,368.03
TOI-3807 b,139.1125648,69.0741284,421.745
WASP-153 b,279.2624729,40.0186905,610.176
HAT-P-20 b,111.9164295,24.3361185,71.0374
TOI-1691 b,272.4041179,86.860343,111.445
NGTS-24 b,168.5638892,-37.9101328,683.062
Qatar-9 b,160.748095,60.9641194,213.771
Teegarden's Star b,43.2691449,16.8649024,3.83078
Teegarden's Star c,43.2691449,16.8649024,3.83078
WASP-25 b,195.3597581,-27.5222273,211.416
TOI-1669 b,45.9564744,83.5874273,111.276
XO-6 b,94.7929552,73.8275672,235.479
TOI-5301 b,12.9908008,13.0783712,629.161
TOI-1516 b,340.0846204,69.5037313,247.054
HD 207897 b,325.2016451,84.3337613,28.2938
TOI-1288 c,313.1670294,65.6087833,114.865
WASP-25 b,195.3597581,-27.5222273,211.416
WASP-25 b,195.3597581,-27.5222273,211.416
WASP-124 b,332.7143373,-30.7497189,448.637
WASP-25 b,195.3597581,-27.5222273,211.416
WASP-124 b,332.7143373,-30.7497189,448.637
WASP-25 b,195.3597581,-27.5222273,211.416
WASP-124 b,332.7143373,-30.7497189,448.637
WASP-13 b,140.1029654,33.8823291,227.537
TrES-1 b,286.0408755,36.632536,159.658
XO-5 b,116.7163868,39.0944695,276.211
55 Cnc d,133.1468373,28.3298154,12.5855
55 Cnc d,133.1468373,28.3298154,12.5855
55 Cnc e,133.1468373,28.3298154,12.5855
WASP-140 b,60.3855387,-20.4509991,117.598
WASP-13 b,140.1029654,33.8823291,227.537
eps CrB b,239.3965057,26.8776171,69.8683
WASP-160 B b,87.679561,-27.6233218,288.326
Kepler-41 b,294.5132465,45.9816453,1093.08
KOI-94 b,297.3330716,41.8911186,477.052
HD 173416 b,280.9005676,36.556857,132.184
HD 37605 c,85.0074276,6.0595116,46.7864
HD 210702 b,332.9638643,16.0404806,54.1963
nu Oph b,269.7566013,-9.7741342,46.2107
nu Oph c,269.7566013,-9.7741342,46.2107
